MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,WIN,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,H_BET,X_BET,A_BET,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2015-2016_Bournemouth_Aston Villa,2015-2016,1,8/8/2015,,Bournemouth,Aston Villa,0,1,A,0,0,D,M Clattenburg,11,7,2,3,6,3,13,13,3,4,0,0,2.0,3.6,4.0,,,,,,,,,,,,,0,3
2015-2016_Chelsea_Swansea,2015-2016,1,8/8/2015,,Chelsea,Swansea,2,2,D,2,1,H,M Oliver,11,18,3,10,4,8,15,16,1,3,1,0,1.36,5.0,11.0,,,,,,,,,,,,,1,1
2015-2016_Everton_Watford,2015-2016,1,8/8/2015,,Everton,Watford,2,2,D,0,1,A,M Jones,10,11,5,5,8,2,7,13,1,2,0,0,1.7,3.9,5.5,,,,,,,,,,,,,1,1
2015-2016_Leicester_Sunderland,2015-2016,1,8/8/2015,,Leicester,Sunderland,4,2,H,3,0,H,L Mason,19,10,8,5,6,3,13,17,2,4,0,0,1.95,3.5,4.33,,,,,,,,,,,,,3,0
2015-2016_Man United_Tottenham,2015-2016,1,8/8/2015,,Man United,Tottenham,1,0,H,1,0,H,J Moss,9,9,1,4,1,2,12,12,2,3,0,0,1.65,4.0,6.0,,,,,,,,,,,,,3,0
2015-2016_Norwich_Crystal Palace,2015-2016,1,8/8/2015,,Norwich,Crystal Palace,1,3,A,0,1,A,S Hooper,17,11,6,7,1,4,14,20,1,0,0,0,2.55,3.3,3.0,,,,,,,,,,,,,0,3
2015-2016_Arsenal_West Ham,2015-2016,1,8/9/2015,,Arsenal,West Ham,0,2,A,0,1,A,M Atkinson,22,8,6,4,5,4,12,9,1,3,0,0,1.29,6.0,12.0,,,,,,,,,,,,,0,3
2015-2016_Newcastle_Southampton,2015-2016,1,8/9/2015,,Newcastle,Southampton,2,2,D,1,1,D,C Pawson,9,15,4,5,6,6,9,12,2,4,0,0,2.88,3.3,2.7,,,,,,,,,,,,,1,1
2015-2016_Stoke_Liverpool,2015-2016,1,8/9/2015,,Stoke,Liverpool,0,1,A,0,0,D,A Taylor,7,8,1,3,3,5,9,16,2,4,0,0,3.4,3.4,2.3,,,,,,,,,,,,,0,3
2015-2016_West Brom_Man City,2015-2016,1,8/10/2015,,West Brom,Man City,0,3,A,0,2,A,M Dean,9,19,2,7,6,6,12,9,4,1,0,0,5.75,4.0,1.67,,,,,,,,,,,,,0,3
2015-2016_Aston Villa_Man United,2015-2016,2,8/14/2015,,Aston Villa,Man United,0,1,A,0,1,A,M Dean,5,9,1,2,3,5,14,10,2,2,0,0,5.5,3.8,1.73,,,,,,,,,,,,,0,3
2015-2016_Southampton_Everton,2015-2016,2,8/15/2015,,Southampton,Everton,0,3,A,0,2,A,M Oliver,17,10,4,4,9,9,11,10,4,2,0,0,1.95,3.6,4.33,,,,,,,,,,,,,0,3
2015-2016_Sunderland_Norwich,2015-2016,2,8/15/2015,,Sunderland,Norwich,1,3,A,0,2,A,K Friend,6,19,2,6,6,6,7,7,1,2,0,0,2.5,3.3,3.1,,,,,,,,,,,,,0,3
